Source,Target,Weight
frontend,shippingservice,1
recommendationservice,productcatalogservice,1
checkoutservice,currencyservice,1
checkoutservice,emailservice,1
checkoutservice,shippingservice,1
frontend,recommendationservice,1
checkoutservice,productcatalogservice,1
frontend,currencyservice,1
frontend,adservice,1
checkoutservice,paymentservice,1
frontend,checkoutservice,1
checkoutservice,cartservice,1
frontend,cartservice,1
frontend,productcatalogservice,1
adservice,33.33.33.167,1
adservice,33.33.33.76,1
adservice,33.33.33.155,1
adservice,33.33.33.116,1
adservice,33.33.33.76,1
cartservice,33.33.33.116,1
cartservice,33.33.33.167,1
cartservice,33.33.33.115,1
checkoutservice,33.33.33.60,1
checkoutservice,33.33.33.115,1
checkoutservice,33.33.33.60,1
checkoutservice,33.33.33.80,1
currencyservice,33.33.33.60,1
currencyservice,33.33.33.155,1
currencyservice,33.33.33.115,1
emailservice,33.33.33.76,1
emailservice,33.33.33.60,1
emailservice,33.33.33.116,1
frontend,33.33.33.76,1
loadgenerator,33.33.33.79,1
loadgenerator,33.33.33.167,1
loadgenerator,33.33.33.227,1
paymentservice,33.33.33.116,1
paymentservice,33.33.33.155,1
paymentservice,33.33.33.167,1
productcatalogservice,33.33.33.155,1
productcatalogservice,33.33.33.115,1
productcatalogservice,33.33.33.60,1
productcatalogservice,33.33.33.116,1
productcatalogservice,33.33.33.76,1
recommendationservice,33.33.33.155,1
recommendationservice,33.33.33.167,1
recommendationservice,33.33.33.76,1
recommendationservice,33.33.33.155,1
recommendationservice,33.33.33.115,1
recommendationservice,33.33.33.80,1
recommendationservice,33.33.33.80,1
shippingservice,33.33.33.60,1
shippingservice,33.33.33.76,1
shippingservice,33.33.33.115,1
shippingservice,33.33.33.155,1
